"","N","Código","Municipio","Mesorregião","Ano","Data","Precipitação mensal (mm)","M","Mes"
"201",201,"83334","Formoso","Noroeste de Minas",2023,2023-08-31,12.4,"08","Ago"
"202",202,"83334","Formoso","Noroeste de Minas",2023,2023-09-30,NA,"09","Set"
"203",203,"83334","Formoso","Noroeste de Minas",2023,2023-10-31,100,"10","Out"
"204",204,"83334","Formoso","Noroeste de Minas",2023,2023-11-30,74.2,"11","Nov"
"205",205,"83338","Espinosa","Norte de Minas",2012,2012-01-31,NA,"01","Jan"
"206",206,"83338","Espinosa","Norte de Minas",2012,2012-02-29,NA,"02","Fev"
"207",207,"83338","Espinosa","Norte de Minas",2012,2012-03-31,29.9,"03","Mar"
"208",208,"83338","Espinosa","Norte de Minas",2012,2012-04-30,0,"04","Abr"
"209",209,"83338","Espinosa","Norte de Minas",2012,2012-05-31,2.9,"05","Mai"
"210",210,"83338","Espinosa","Norte de Minas",2012,2012-06-30,2,"06","Jun"
"211",211,"83338","Espinosa","Norte de Minas",2012,2012-07-31,NA,"07","Jul"
"212",212,"83338","Espinosa","Norte de Minas",2012,2012-08-31,0,"08","Ago"
"213",213,"83338","Espinosa","Norte de Minas",2012,2012-09-30,0.4,"09","Set"
"214",214,"83338","Espinosa","Norte de Minas",2012,2012-10-31,0.5,"10","Out"
"215",215,"83338","Espinosa","Norte de Minas",2012,2012-11-30,228.2,"11","Nov"
"216",216,"83338","Espinosa","Norte de Minas",2012,2012-12-31,33.8,"12","Dez"
"217",217,"83338","Espinosa","Norte de Minas",2013,2013-01-31,NA,"01","Jan"
"218",218,"83338","Espinosa","Norte de Minas",2013,2013-02-28,1.1,"02","Fev"
"219",219,"83338","Espinosa","Norte de Minas",2013,2013-03-31,94.7,"03","Mar"
"220",220,"83338","Espinosa","Norte de Minas",2013,2013-04-30,36.7,"04","Abr"
"221",221,"83338","Espinosa","Norte de Minas",2013,2013-05-31,0,"05","Mai"
"222",222,"83338","Espinosa","Norte de Minas",2013,2013-06-30,NA,"06","Jun"
"223",223,"83338","Espinosa","Norte de Minas",2013,2013-07-31,0,"07","Jul"
"224",224,"83338","Espinosa","Norte de Minas",2013,2013-08-31,0,"08","Ago"
"225",225,"83338","Espinosa","Norte de Minas",2013,2013-09-30,0,"09","Set"
"226",226,"83338","Espinosa","Norte de Minas",2013,2013-10-31,38.4,"10","Out"
"227",227,"83338","Espinosa","Norte de Minas",2013,2013-11-30,NA,"11","Nov"
"228",228,"83338","Espinosa","Norte de Minas",2013,2013-12-31,397.1,"12","Dez"
"229",229,"83338","Espinosa","Norte de Minas",2014,2014-01-31,NA,"01","Jan"
"230",230,"83338","Espinosa","Norte de Minas",2014,2014-02-28,3.6,"02","Fev"
"231",231,"83338","Espinosa","Norte de Minas",2014,2014-03-31,25.8,"03","Mar"
"232",232,"83338","Espinosa","Norte de Minas",2014,2014-04-30,35.7,"04","Abr"
"233",233,"83338","Espinosa","Norte de Minas",2014,2014-05-31,10.2,"05","Mai"
"234",234,"83338","Espinosa","Norte de Minas",2014,2014-06-30,NA,"06","Jun"
"235",235,"83338","Espinosa","Norte de Minas",2014,2014-07-31,NA,"07","Jul"
"236",236,"83338","Espinosa","Norte de Minas",2014,2014-08-31,0,"08","Ago"
"237",237,"83338","Espinosa","Norte de Minas",2014,2014-09-30,0.5,"09","Set"
"238",238,"83338","Espinosa","Norte de Minas",2014,2014-10-31,29.5,"10","Out"
"239",239,"83338","Espinosa","Norte de Minas",2014,2014-11-30,130,"11","Nov"
"240",240,"83338","Espinosa","Norte de Minas",2014,2014-12-31,73,"12","Dez"
"241",241,"83338","Espinosa","Norte de Minas",2015,2015-01-31,NA,"01","Jan"
"242",242,"83338","Espinosa","Norte de Minas",2015,2015-02-28,57.9,"02","Fev"
"243",243,"83338","Espinosa","Norte de Minas",2015,2015-03-31,37.9,"03","Mar"
"244",244,"83338","Espinosa","Norte de Minas",2015,2015-04-30,NA,"04","Abr"
"245",245,"83338","Espinosa","Norte de Minas",2015,2015-05-31,18.8,"05","Mai"
"246",246,"83338","Espinosa","Norte de Minas",2015,2015-06-30,1.8,"06","Jun"
"247",247,"83338","Espinosa","Norte de Minas",2015,2015-07-31,NA,"07","Jul"
"248",248,"83338","Espinosa","Norte de Minas",2015,2015-08-31,0,"08","Ago"
"249",249,"83338","Espinosa","Norte de Minas",2015,2015-09-30,0,"09","Set"
"250",250,"83338","Espinosa","Norte de Minas",2015,2015-10-31,3.3,"10","Out"
"251",251,"83338","Espinosa","Norte de Minas",2015,2015-11-30,51.7,"11","Nov"
"252",252,"83338","Espinosa","Norte de Minas",2015,2015-12-31,10,"12","Dez"
"253",253,"83338","Espinosa","Norte de Minas",2016,2016-01-31,327,"01","Jan"
"254",254,"83338","Espinosa","Norte de Minas",2016,2016-02-29,0.4,"02","Fev"
"255",255,"83338","Espinosa","Norte de Minas",2016,2016-03-31,NA,"03","Mar"
"256",256,"83338","Espinosa","Norte de Minas",2016,2016-04-30,1,"04","Abr"
"257",257,"83338","Espinosa","Norte de Minas",2016,2016-05-31,0,"05","Mai"
"258",258,"83338","Espinosa","Norte de Minas",2016,2016-06-30,1.8,"06","Jun"
"259",259,"83338","Espinosa","Norte de Minas",2016,2016-07-31,NA,"07","Jul"
"260",260,"83338","Espinosa","Norte de Minas",2016,2016-08-31,0,"08","Ago"
"261",261,"83338","Espinosa","Norte de Minas",2016,2016-09-30,0.1,"09","Set"
"262",262,"83338","Espinosa","Norte de Minas",2016,2016-10-31,NA,"10","Out"
"263",263,"83338","Espinosa","Norte de Minas",2016,2016-11-30,NA,"11","Nov"
"264",264,"83338","Espinosa","Norte de Minas",2016,2016-12-31,80.9,"12","Dez"
"265",265,"83338","Espinosa","Norte de Minas",2017,2017-01-31,3,"01","Jan"
"266",266,"83338","Espinosa","Norte de Minas",2017,2017-02-28,83.8,"02","Fev"
"267",267,"83338","Espinosa","Norte de Minas",2017,2017-03-31,92.5,"03","Mar"
"268",268,"83338","Espinosa","Norte de Minas",2017,2017-04-30,11,"04","Abr"
"269",269,"83338","Espinosa","Norte de Minas",2017,2017-05-31,2.8,"05","Mai"
"270",270,"83338","Espinosa","Norte de Minas",2017,2017-06-30,0,"06","Jun"
"271",271,"83338","Espinosa","Norte de Minas",2017,2017-07-31,NA,"07","Jul"
"272",272,"83338","Espinosa","Norte de Minas",2017,2017-08-31,0,"08","Ago"
"273",273,"83338","Espinosa","Norte de Minas",2017,2017-09-30,0.1,"09","Set"
"274",274,"83338","Espinosa","Norte de Minas",2017,2017-10-31,NA,"10","Out"
"275",275,"83338","Espinosa","Norte de Minas",2017,2017-11-30,68.1,"11","Nov"
"276",276,"83338","Espinosa","Norte de Minas",2017,2017-12-31,NA,"12","Dez"
"277",277,"83338","Espinosa","Norte de Minas",2018,2018-01-31,37.6,"01","Jan"
"278",278,"83338","Espinosa","Norte de Minas",2018,2018-02-28,NA,"02","Fev"
"279",279,"83338","Espinosa","Norte de Minas",2018,2018-03-31,80.6,"03","Mar"
"280",280,"83338","Espinosa","Norte de Minas",2018,2018-04-30,2,"04","Abr"
"281",281,"83338","Espinosa","Norte de Minas",2018,2018-05-31,1,"05","Mai"
"282",282,"83338","Espinosa","Norte de Minas",2018,2018-06-30,0,"06","Jun"
"283",283,"83338","Espinosa","Norte de Minas",2018,2018-07-31,NA,"07","Jul"
"284",284,"83338","Espinosa","Norte de Minas",2018,2018-08-31,0.6,"08","Ago"
"285",285,"83338","Espinosa","Norte de Minas",2018,2018-09-30,0,"09","Set"
"286",286,"83338","Espinosa","Norte de Minas",2018,2018-10-31,NA,"10","Out"
"287",287,"83338","Espinosa","Norte de Minas",2018,2018-11-30,NA,"11","Nov"
"288",288,"83338","Espinosa","Norte de Minas",2018,2018-12-31,NA,"12","Dez"
"289",289,"83338","Espinosa","Norte de Minas",2019,2019-01-31,NA,"01","Jan"
"290",290,"83338","Espinosa","Norte de Minas",2019,2019-02-28,NA,"02","Fev"
"291",291,"83384","Arinos","Noroeste de Minas",2012,2012-01-31,174.6,"01","Jan"
"292",292,"83384","Arinos","Noroeste de Minas",2012,2012-02-29,22.6,"02","Fev"
"293",293,"83384","Arinos","Noroeste de Minas",2012,2012-03-31,69.7,"03","Mar"
"294",294,"83384","Arinos","Noroeste de Minas",2012,2012-04-30,0,"04","Abr"
"295",295,"83384","Arinos","Noroeste de Minas",2012,2012-05-31,5.5,"05","Mai"
"296",296,"83384","Arinos","Noroeste de Minas",2012,2012-06-30,0,"06","Jun"
